case,heater,geom,nozzle,x_m,x_mm,P_Pa,p_bar,T_K
1,H1,Large,L,0.0,0.0,500000.0,5.0,293.0
1,H1,Large,L,4.48e-05,0.0448,499999.8232346842,4.999998232346842,298.85893295493975
1,H1,Large,L,8.96e-05,0.0896,499999.64646936837,4.999996464693684,304.59402572485465
1,H1,Large,L,0.0001344,0.1344,499999.46970405255,4.999994697040526,310.2079984556802
1,H1,Large,L,0.0001792,0.1792,499999.29293873673,4.999992929387368,315.7034868538465
1,H1,Large,L,0.000224,0.224,499999.1161734209,4.999991161734209,321.08306624980105
1,H1,Large,L,0.0002688,0.2688,499998.9394081051,4.999989394081051,326.3492530871763
1,H1,Large,L,0.0003136,0.3136,499998.7626427893,4.999987626427893,331.5045063726758
1,H1,Large,L,0.0003584,0.3584,499998.58587747347,4.999985858774735,336.55122908763434
1,H1,Large,L,0.0004032,0.4032,499998.40911215765,4.9999840911215765,341.491769562211
1,H1,Large,L,0.000448,0.448,499998.23234684183,4.999982323468418,346.32842281316874
1,H1,Large,L,0.0004927999999999999,0.49279999999999996,499998.055581526,4.99998055581526,351.0634318461884
1,H1,Large,L,0.0005376,0.5376,499997.8788162102,4.999978788162102,355.69898892365416
1,H1,Large,L,0.0005824,0.5823999999999999,499997.7020508944,4.999977020508944,360.23723679883506
1,H1,Large,L,0.0006272,0.6272,499997.52528557857,4.999975252855785,364.6802699173725
1,H1,Large,L,0.000672,0.6719999999999999,499997.34852026275,4.999973485202627,369.03013558696784
1,H1,Large,L,0.0007168,0.7168,499997.17175494693,4.999971717549469,373.28883511614606
1,H1,Large,L,0.0007616,0.7615999999999999,499996.9949896311,4.999969949896311,377.4583249229539
1,H1,Large,L,0.0008064,0.8064,499996.8182243153,4.999968182243153,381.5405176144314
1,H1,Large,L,0.0008512,0.8512,499996.6414589995,4.999966414589995,385.5372830376756
1,H1,Large,L,0.000896,0.896,499996.46469368367,4.999964646936837,389.4504493032967
1,H1,Large,L,0.0009408,0.9408,499996.28792836785,4.999962879283679,393.28180378204513
1,H1,Large,L,0.0009855999999999999,0.9855999999999999,499996.11116305203,4.999961111630521,397.03309407536915
1,H1,Large,L,0.0010304,1.0304,499995.9343977362,4.999959343977362,400.7060289606416
1,H1,Large,L,0.0010752,1.0752,499995.7576324204,4.999957576324204,404.302279311775
1,H1,Large,L,0.00112,1.1199999999999999,499995.5808671046,4.999955808671046,407.8234789959233
1,H1,Large,L,0.0011648,1.1647999999999998,499995.40410178876,4.9999540410178875,411.2712257469508
1,H1,Large,L,0.0012096,1.2096,499995.22733647295,4.9999522733647295,414.6470820163269
1,H1,Large,L,0.0012544,1.2544,499995.05057115713,4.999950505711571,417.9525758020895
1,H1,Large,L,0.0012992,1.2992,499994.8738058413,4.999948738058413,421.1892014564972
1,H1,Large,L,0.001344,1.3439999999999999,499994.6970405255,4.999946970405255,424.358420472977
1,H1,Large,L,0.0013888,1.3888,499994.5202752097,4.999945202752097,425.268034959463
1,H1,Large,L,0.0014336,1.4336,499994.0736168067,4.9999407361680674,425.2680216235107
1,H1,Large,L,0.0014784,1.4784,499993.25201765413,4.999932520176541,425.26798792562073
1,H1,Large,L,0.0015232,1.5231999999999999,499992.05951684766,4.999920595168477,425.26792594047475
1,H1,Large,L,0.001568,1.568,499990.5001666045,4.999905001666045,425.2678359726883
1,H1,Large,L,0.0016128,1.6128,499988.578031258,4.99988578031258,425.2677183278184
1,H1,Large,L,0.0016576,1.6576,499986.2971863468,4.999862971863468,425.26757331228936
1,H1,Large,L,0.0017024,1.7024,499983.6617177885,4.999836617177885,425.26740123332644
1,H1,Large,L,0.0017472,1.7471999999999999,499980.67572112725,4.999806757211273,425.2672023988946
1,H1,Large,L,0.001792,1.792,499977.343300848,4.99977343300848,425.26697711764416
1,H1,Large,L,0.0018368,1.8368,499973.66856974945,4.999736685697495,425.26672569886045
1,H1,Large,L,0.0018816,1.8816,499969.6556483705,4.9996965564837055,425.2664484524184
1,H1,Large,L,0.0019264,1.9264,499965.3086644635,4.999653086644635,425.2661456887409
1,H1,Large,L,0.0019711999999999998,1.9711999999999998,499960.6317525106,4.999606317525106,425.2658177187611
1,H1,Large,L,0.002016,2.016,499955.6290532783,4.999556290532783,425.2654648538871
1,H1,Large,L,0.0020608,2.0608,499950.3047134063,4.999503047134063,425.26508740597063
1,H1,Large,L,0.0021056,2.1056,499944.66288502835,4.999446628850284,425.26468568727745
1,H1,Large,L,0.0021504,2.1504,499938.7077254204,4.999387077254204,425.26426001045985
1,H1,Large,L,0.0021952,2.1952,499932.44339667546,4.999324433966755,425.2638106885329
1,H1,Large,L,0.00224,2.2399999999999998,499925.87406540086,4.9992587406540085,425.26333803485045
1,H1,Large,L,0.0022848,2.2848,499919.0039024372,4.999190039024373,425.2628423630846
1,H1,Large,L,0.0023296,2.3295999999999997,499911.8370825966,4.9991183708259666,425.26232398720555
1,H1,Large,L,0.0023744,2.3744,499904.3777844183,4.999043777844183,425.26178322146376
1,H1,Large,L,0.0024192,2.4192,499896.63018994033,4.9989663018994035,425.26122038037306
1,H1,Large,L,0.002464,2.464,499888.5984844861,4.998885984844861,425.2606357786945
1,H1,Large,L,0.0025088,2.5088,499880.28685646434,4.998802868564644,425.26002973142243
1,H1,Large,L,0.0025536,2.5536,499871.69949718093,4.99871699497181,425.2594025537703
1,H1,Large,L,0.0025984,2.5984,499862.84060066263,4.998628406006627,425.25875456115807
1,H1,Large,L,0.0026432,2.6432,499853.7143634906,4.9985371436349055,425.25808606920054
1,H1,Large,L,0.002688,2.6879999999999997,499844.32498464355,4.998443249846435,425.257397393696
1,H1,Large,L,0.0027328,2.7328,499834.6766653498,4.998346766653498,425.25668885061583
1,H1,Large,L,0.0027776,2.7776,499824.773608947,4.99824773608947,425.25596075609485
1,H1,Large,L,0.0028224,2.8224,499814.6200207493,4.998146200207493,425.25521342642173
1,H1,Large,L,0.0028672,2.8672,499804.22010792117,4.998042201079212,425.2544471780307
1,H1,Large,L,0.0029119999999999997,2.9119999999999995,499793.5780793576,4.9979357807935765,425.25366232749315
1,H1,Large,L,0.0029568,2.9568,499782.69814556977,4.997826981455698,425.2528591915098
1,H1,Large,L,0.0030015999999999997,3.0016,499771.5845185759,4.997715845185759,425.25203808690367
1,H1,Large,L,0.0030464,3.0463999999999998,499760.2414117972,4.997602414117972,425.25119933061234
1,H1,Large,L,0.0030911999999999997,3.0911999999999997,499748.6730399574,4.997486730399574,425.2503432396823
1,H1,Large,L,0.003136,3.136,499736.88361898763,4.997368836189876,425.249470131262
1,H1,Large,L,0.0031807999999999997,3.1807999999999996,499724.8773659333,4.997248773659333,425.24858032259567
1,H1,Large,L,0.0032256,3.2256,499712.65849886584,4.997126584988658,425.2476741310181
1,H1,Large,L,0.0032703999999999997,3.2703999999999995,499700.23123679624,4.997002312367963,425.2467518739484
1,H1,Large,L,0.0033152,3.3152,499687.59979959234,4.996875997995923,425.2458138688852
1,H1,Large,L,0.0033599999999999997,3.36,499674.76840789785,4.996747684078978,425.24486043340096
1,H1,Large,L,0.0034048,3.4048,499661.74128305406,4.996617412830541,425.2438918851374
1,H1,Large,L,0.0034495999999999997,3.4495999999999998,499648.5226470234,4.9964852264702335,425.2429085418002
1,H1,Large,L,0.0034944,3.4943999999999997,499635.1167223149,4.996351167223149,425.2419107211548
1,H1,Large,L,0.0035391999999999997,3.5391999999999997,499621.5277319111,4.996215277319111,425.2408987410213
1,H1,Large,L,0.003584,3.584,499607.75989919645,4.996077598991964,425.2398729192698
1,H1,Large,L,0.0036287999999999997,3.6287999999999996,499593.8174478868,4.9959381744788685,425.238833573817
1,H1,Large,L,0.0036736,3.6736,499579.70460196014,4.995797046019601,425.23778102261997
1,H1,Large,L,0.0037183999999999997,3.7184,499565.425585588,4.99565425585588,425.236715583674
1,H1,Large,L,0.0037632,3.7632,499550.9846230675,4.995509846230675,425.23563757500676
1,H1,Large,L,0.0038079999999999998,3.808,499536.3859387543,4.995363859387543,425.2345473146743
1,H1,Large,L,0.0038528,3.8528,499521.63375699555,4.995216337569955,425.2334451207573
1,H1,Large,L,0.0038975999999999998,3.8975999999999997,499506.7323020631,4.995067323020631,425.23233131135686
1,H1,Large,L,0.0039423999999999996,3.9423999999999997,499491.68579808704,4.99491685798087,425.2312062045897
1,H1,Large,L,0.0039872,3.9871999999999996,499476.49846898916,4.994764984689891,425.23007011858414
1,H1,Large,L,0.004032,4.032,499461.1745384161,4.9946117453841605,425.22892337147607
1,H1,Large,L,0.0040768,4.0768,499445.71822967223,4.994457182296722,425.2277662814045
1,H1,Large,L,0.0041216,4.1216,499430.1337656522,4.9943013376565215,425.2265991665073
1,H1,Large,L,0.0041664,4.166399999999999,499414.4253687727,4.994144253687727,425.22542234491647
1,H1,Large,L,0.0042112,4.2112,499398.59726090386,4.993985972609039,425.2242361347541
1,H1,Large,L,0.004256,4.256,499382.6536632995,4.993826536632995,425.2230408541276
1,H1,Large,L,0.0043008,4.3008,499366.5987965268,4.993665987965268,425.2218368211249
1,H1,Large,L,0.0043456,4.3456,499350.4368803943,4.993504368803943,425.2206243538104
1,H1,Large,L,0.0043904,4.3904,499334.1721338794,4.993341721338794,425.21940377021906
1,H1,Large,L,0.004435199999999999,4.435199999999999,499317.8087750541,4.993178087750541,425.2181753883525
1,H1,Large,L,0.00448,4.4799999999999995,499301.35102100944,4.993013510210094,425.2169395261734
1,H1,Large,L,0.0045248,4.5248,499284.8030877781,4.992848030877781,425.21569650160023
1,H1,Large,L,0.0045696,4.5696,499268.16919025563,4.992681691902557,425.2144466325026
1,H1,Large,L,0.004614399999999999,4.6144,499251.4535421197,4.992514535421197,425.2131902366946
1,H1,Large,L,0.0046592,4.659199999999999,499234.66035574715,4.992346603557472,425.2119276319302
1,H1,Large,L,0.004704,4.704,499217.7938421291,4.992177938421291,425.210659135897
1,H1,Large,L,0.0047488,4.7488,499200.85821078386,4.992008582107839,425.2093850662102
1,H1,Large,L,0.004793599999999999,4.7936,499183.85766966705,4.99183857669667,425.20810574040644
1,H1,Large,L,0.0048384,4.8384,499166.79642507934,4.9916679642507935,425.2068214759373
1,H1,Large,L,0.0048832,4.8831999999999995,499149.67868157156,4.991496786815715,425.2055325901628
1,H1,Large,L,0.004928,4.928,499132.5086418466,4.991325086418466,425.20423940034453
1,H1,Large,L,0.0049727999999999994,4.972799999999999,499115.2905066583,4.991152905066583,425.20294222363833
1,H1,Large,L,0.0050176,5.0176,499098.02847470733,4.9909802847470734,425.20164137708724
1,H1,Large,L,0.0050624,5.0624,499080.7267425329,4.990807267425329,425.20033717761345
1,H1,Large,L,0.0051072,5.1072,499063.38950440177,4.990633895044017,425.19902994201095
1,H1,Large,L,0.0051519999999999995,5.151999999999999,499046.0209521925,4.990460209521925,425.1977199869366
1,H1,Large,L,0.0051968,5.1968,499028.62527527596,4.990286252752759,425.19640762890197
1,H1,Large,L,0.0052416,5.2416,499011.2066603917,4.990112066603917,425.1950931842648
1,H1,Large,L,0.0052864,5.2864,498993.7692915195,4.989937692915195,425.1937769692192
1,H1,Large,L,0.0053311999999999995,5.331199999999999,498976.31734974607,4.989763173497461,425.1924592997859
1,H1,Large,L,0.005376,5.3759999999999994,498958.8550131269,4.989588550131269,425.1911404918033
1,H1,Large,L,0.0054208,5.4208,498941.3864565426,4.989413864565426,425.18982086091586
1,H1,Large,L,0.0054656,5.4656,498923.9158515496,4.989239158515496,425.18850072256413
1,H1,Large,L,0.0055103999999999995,5.5104,498906.447366225,4.98906447366225,425.187180391973
1,H1,Large,L,0.0055552,5.5552,498888.985165005,4.98888985165005,425.18586018414044
1,H1,Large,L,0.0056,5.6,498871.5334085168,4.9887153340851675,425.18454041382455
1,H1,Large,L,0.0056448,5.6448,498854.09625340335,4.988540962534033,425.18322139553163
1,H1,Large,L,0.0056895999999999995,5.6895999999999995,498836.677852141,4.98836677852141,425.1819034435021
1,H1,Large,L,0.0057344,5.7344,498819.2823528491,4.9881928235284905,425.18058687169724
1,H1,Large,L,0.0057792,5.7792,498801.9138990915,4.988019138990915,425.1792719937842
1,H1,Large,L,0.005823999999999999,5.823999999999999,498784.5766296693,4.987845766296693,425.17795912312124
1,H1,Large,L,0.0058687999999999995,5.868799999999999,498767.2746784044,4.987672746784044,425.17664857274127
1,H1,Large,L,0.0059136,5.9136,498750.0121739134,4.987500121739134,425.1753406553363
1,H1,Large,L,0.0059584,5.9584,498732.79323937127,4.987327932393713,425.1740356832392
1,H1,Large,L,0.006003199999999999,6.0032,498715.6219922639,4.987156219922639,425.17273396840585
1,H1,Large,L,0.0060479999999999996,6.047999999999999,498698.50254412944,4.986985025441294,425.17143582239675
1,H1,Large,L,0.0060928,6.0927999999999995,498681.43900028744,4.986814390002874,425.17014155635604
1,H1,Large,L,0.0061376,6.1376,498664.4354595549,4.986644354595549,425.1688514809919
1,H1,Large,L,0.006182399999999999,6.1823999999999995,498647.4960139487,4.986474960139487,425.167565906554
1,H1,Large,L,0.0062272,6.2272,498630.6247483737,4.9863062474837365,425.16628514281086
1,H1,Large,L,0.006272,6.272,498613.82574029523,4.986138257402953,425.16500949902587
