case,heater,geom,nozzle,A_mm2,t_wall_um,D_o_um,x_m,x_mm,P_Pa,p_bar,T_K,T_sat_K,quality,alpha,in_two_phase,vap_start_m,vap_end_m,T_wall_max_K
1,H1,Large,L,5.4,54.0,266.0,0.0,0.0,500000.0,5.0,293.0,425.268435036257,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,4.48e-05,0.0448,499999.8586039718,4.999998586039718,298.8170545853672,425.2684243688111,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,8.96e-05,0.0896,499999.71720794355,4.999997172079436,304.51216255088093,425.2684137013629,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.0001344,0.1344,499999.57581191533,4.999995758119153,310.08797557047325,425.26840303391214,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.0001792,0.1792,499999.4344158871,4.999994344158871,315.5470631532976,425.26839236645884,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.000224,0.224,499999.2930198589,4.999992930198589,320.89193678602965,425.2683816990032,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.0002688,0.2688,499999.15162383066,4.999991516238307,326.12505133190166,425.2683710315451,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.0003136,0.3136,499999.01022780244,4.999990102278025,331.24880639442824,425.2683603640846,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.0003584,0.3584,499998.8688317742,4.9999886883177425,336.265547646565,425.2683496966216,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.0004032,0.4032,499998.727435746,4.99998727435746,341.177568126058,425.26833902915615,0.0,0.0,False,0.001344,0.00896,493.1485301330029
1,H1,Large,L,5.4,54.0,266.0,0.000448,0.448,499998.5860397178,4.999985860397178,345.9871094977532,425.26832836168825,0.0,0.0,False,0.001344,0.00896,493.1485301330029
