N_slices,T_exit_K,P_exit_Pa,P_exit_bar,x_exit,Q_absorbed_W,T_wall_max_K,dT_rel,dP_rel,dx_rel,dQ_rel,max_rel_change,converged
10,413.8222576630755,358394.92197325546,3.5839492197325544,1.0,2.136713201618583,483.0689397261672,,,,,,False
20,470.3082673783228,293147.35286063596,2.9314735286063596,1.0,2.277759319186633,483.6617383638391,0.1364982396892651,0.1820549486398373,0.0,0.06601078584678843,0.1820549486398373,False
50,452.69159983893525,281517.34527625,2.8151734527624996,1.0,2.352640356149808,497.31434550391987,0.0374577033008362,0.03967290671703583,0.0,0.03287486800401451,0.03967290671703583,False
100,451.0027460880604,280668.2905419763,2.8066829054197626,1.0,2.3746365565762004,503.07457493445924,0.0037306938133504497,0.0030159943908271147,0.0,0.009349580512335587,0.009349580512335587,False
150,456.9084167595055,280342.7730470559,2.803427730470559,1.0,2.3785609129410155,508.7114981107904,0.013094533731047298,0.0011597943404715316,0.0,0.0016526134721319696,0.013094533731047298,False
200,455.04830383153535,280195.95348879235,2.8019595348879234,1.0,2.3829156420266497,508.5568394695368,0.0040710848383194165,0.0005237144395332516,0.0,0.0018308251270511278,0.0040710848383194165,True
300,453.1866460473752,280057.28155514423,2.800572815551442,1.0,2.387259630048032,508.4049818158251,0.0040911212468761615,0.0004949105507109364,0.0,0.0018229718017579444,0.0040911212468761615,True
400,454.6362128220022,279972.63424631703,2.7997263424631704,1.0,2.3881050330777795,509.7249708865725,0.0031986087570539112,0.0003022499838503112,0.0,0.0003541311632411226,0.0031986087570539112,True
500,453.6086373012953,279933.51176889543,2.7993351176889543,1.0,2.389685101385926,509.4018385256536,0.002260214852505049,0.00013973679080070411,0.0,0.0006616410443680554,0.002260214852505049,True
750,454.76026399489734,279865.3556049806,2.798653556049806,1.0,2.390332385222406,510.43977816081286,0.0025388112105924066,0.0002434726856536118,0.0,0.00027086574549284315,0.0025388112105924066,True
1000,454.3931057185118,279836.97853814304,2.79836978538143,1.0,2.391205468869235,510.4084611982908,0.0008073666620742603,0.00010139542558318393,0.0,0.000365256167814465,0.0008073666620742603,True
