case,heater,geom,nozzle,P_W,Q_absorbed_W,utilization,T_wall_max_K,dT_wall_fluid_est_K,mdot_total_mgs,mdot_nozzle_mgs,F_mN,tau_mN_per_W,Isp_s,p_bar,T_K,choked
1,H1,Large,L,7.4,2.2135932752372343,0.3010486854322638,491.3079337767564,66.2,0.82,0.78,1.0,0.14,129.9,4.98,425.1,False
2,H1,Large,W,7.4,2.2135932752372343,0.3010486854322638,491.3079337767564,66.2,0.82,0.78,0.97,0.13,126.4,4.98,425.1,False
3,H1,Large,B,7.4,2.2135932752372343,0.3010486854322638,491.3079337767564,66.2,0.82,0.78,0.99,0.13,128.7,4.98,425.1,False
4,H1,Small,L,7.4,2.325215423101963,0.3162292975418669,497.82661713850786,60.8,0.82,0.82,1.02,0.14,127.3,4.34,437.1,False
5,H1,Small,W,7.4,2.325215423101963,0.3162292975418669,497.82661713850786,60.8,0.82,0.82,1.0,0.14,124.5,4.34,437.1,False
6,H1,Small,B,7.4,2.325215423101963,0.3162292975418669,497.82661713850786,60.8,0.82,0.82,1.01,0.14,126.1,4.34,437.1,False
7,H2,Large,L,10.5,2.7313052846834562,0.26002026310186505,688.567500633521,8.7,0.82,0.82,1.26,0.12,156.8,4.98,679.8,False
8,H2,Large,W,10.5,2.7313052846834562,0.26002026310186505,688.567500633521,8.7,0.82,0.82,1.23,0.12,153.5,4.98,679.8,False
9,H2,Large,B,10.5,2.7313052846834562,0.26002026310186505,688.567500633521,8.7,0.82,0.82,1.25,0.12,155.3,4.98,679.8,False
10,H2,Small,L,10.5,2.781316492911727,0.2647813301251964,709.2968606322205,5.9,0.82,0.82,1.26,0.12,156.6,4.45,703.4,False
11,H2,Small,W,10.5,2.781316492911727,0.2647813301251964,709.2968606322205,5.9,0.82,0.82,1.24,0.12,153.8,4.45,703.4,False
12,H2,Small,B,10.5,2.781316492911727,0.2647813301251964,709.2968606322205,5.9,0.82,0.82,1.25,0.12,155.0,4.45,703.4,False
