case,heater,nozzle,P_W,mdot_total_mgs,alpha_exit,x_exit,mdot_nozzle_mgs,F_mN,Isp_s,p_bar,T_K,tau_mN_per_W,Me,choked,theta_deg,Cd,dP_kPa,A_mm2,width_um,depth_um,Q_absorbed_W,utilization,T_wall_max_K,dT_wall_fluid_est_K,geom
1,H1,L,7.4,0.82,1.0,0.957,0.78,1.0,129.9,4.98,425.1,0.14,3.781,False,19.4,0.92,2.1,5.4,212.0,100.0,2.2135932752372343,0.3010486854322638,491.3079337767564,66.2,Large
2,H1,W,7.4,0.82,1.0,0.957,0.78,0.97,126.4,4.98,425.1,0.13,4.212,False,29.1,0.88,2.1,5.4,212.0,100.0,2.2135932752372343,0.3010486854322638,491.3079337767564,66.2,Large
3,H1,B,7.4,0.82,1.0,0.957,0.78,0.99,128.7,4.98,425.1,0.13,3.781,False,24.5,0.9,2.1,5.4,212.0,100.0,2.2135932752372343,0.3010486854322638,491.3079337767564,66.2,Large
4,H1,L,7.4,0.82,1.0,1.0,0.82,1.02,127.3,4.34,437.1,0.14,3.781,False,19.4,0.92,66.1,5.2,40.0,100.0,2.325215423101963,0.3162292975418669,497.82661713850786,60.8,Small
5,H1,W,7.4,0.82,1.0,1.0,0.82,1.0,124.5,4.34,437.1,0.14,4.212,False,29.1,0.88,66.1,5.2,40.0,100.0,2.325215423101963,0.3162292975418669,497.82661713850786,60.8,Small
6,H1,B,7.4,0.82,1.0,1.0,0.82,1.01,126.1,4.34,437.1,0.14,3.781,False,24.5,0.9,66.1,5.2,40.0,100.0,2.325215423101963,0.3162292975418669,497.82661713850786,60.8,Small
7,H2,L,10.5,0.82,1.0,1.0,0.82,1.26,156.8,4.98,679.8,0.12,3.781,False,19.4,0.92,1.6,5.4,212.0,100.0,2.7313052846834562,0.26002026310186505,688.567500633521,8.7,Large
8,H2,W,10.5,0.82,1.0,1.0,0.82,1.23,153.5,4.98,679.8,0.12,4.212,False,29.1,0.88,1.6,5.4,212.0,100.0,2.7313052846834562,0.26002026310186505,688.567500633521,8.7,Large
9,H2,B,10.5,0.82,1.0,1.0,0.82,1.25,155.3,4.98,679.8,0.12,3.781,False,24.5,0.9,1.6,5.4,212.0,100.0,2.7313052846834562,0.26002026310186505,688.567500633521,8.7,Large
10,H2,L,10.5,0.82,1.0,1.0,0.82,1.26,156.6,4.45,703.4,0.12,3.781,False,19.4,0.92,54.7,5.2,40.0,100.0,2.781316492911727,0.2647813301251964,709.2968606322205,5.9,Small
11,H2,W,10.5,0.82,1.0,1.0,0.82,1.24,153.8,4.45,703.4,0.12,4.212,False,29.1,0.88,54.7,5.2,40.0,100.0,2.781316492911727,0.2647813301251964,709.2968606322205,5.9,Small
12,H2,B,10.5,0.82,1.0,1.0,0.82,1.25,155.0,4.45,703.4,0.12,3.781,False,24.5,0.9,54.7,5.2,40.0,100.0,2.781316492911727,0.2647813301251964,709.2968606322205,5.9,Small
